"","Constit_Code","ConstituencyName.x","Winner19","Electorate19","Conservative","Labour","Liberal Democrat","Scottish National Party","Plaid Cymru","Green","Reform UK","Other","Winner","results"
"101","E14000630","Cheltenham","Conservative",81044,0.314623338567562,0.205505977417576,0.330290508563799,0.0000576915151185305,0.0000354339184789964,0.0732713126094327,0.0299182946313589,0.0462974427766738,"Liberal Democrat","Liberal Democrat Gain"
"102","E14000631","Chesham and Amersham","Conservative",72542,0.402391942212808,0.218255074009536,0.222019808231462,0.0000440242388060229,0.0000091751156883637,0.0781751126527413,0.0361734730978489,0.0429313904411092,"Conservative","Conservative Hold"
"103","E14000632","Chesterfield","Labour",71034,0.34739006286438,0.422473192670866,0.0826470586403462,0.000170047157750078,0.0000724841400815204,0.0586555138338608,0.0427805888660736,0.0458110518266422,"Labour","Labour Hold"
"104","E14000633","Chichester","Conservative",85499,0.427683446520646,0.231566584096904,0.181307586799198,0.0000444258156848873,0.000000358713158174852,0.0704774087909306,0.0403881475912553,0.0485320416722232,"Conservative","Conservative Hold"
"105","E14000634","Chingford and Woodford Green","Conservative",65393,0.330583650756265,0.430071953444725,0.0740001777347767,0.0000955654706796728,0.0000977019622659532,0.058878804390054,0.0425643572149306,0.0637077890263028,"Labour","Labour Gain"
"106","E14000635","Chippenham","Conservative",77221,0.385686854436939,0.232266822775853,0.231640170867052,0.0000561511480258094,0.0000239465569787309,0.0722653860711288,0.0371806182981218,0.0408800498459004,"Conservative","Conservative Hold"
"107","E14000636","Chipping Barnet","Conservative",79960,0.304755697623387,0.428107751968775,0.104467462179067,0.0000789420721742807,0.0000260361633050744,0.0643576109110079,0.03409209376551,0.064114405316775,"Labour","Labour Gain"
"108","E14000637","Chorley","Speaker",78177,0.191985055853742,0.475099699528565,0.0797780548184888,0.000354410288617767,0.000622353882662878,0.163881915629658,0.0368116383901253,0.0514668716081414,"Speaker","Speaker Hold"
"109","E14000638","Christchurch","Conservative",71520,0.4857273493046,0.21795526444948,0.1459120937744,0.000104128943207795,0.0000269168072800726,0.0720861206521397,0.0461138904681544,0.0320742356007385,"Conservative","Conservative Hold"
"110","E14000639","Cities of London and Westminster","Conservative",63700,0.246666816679815,0.346154746871426,0.232698965424093,0.0000682328832912359,0.0000112173623477764,0.0786055937838089,0.024398470273358,0.0713959567218604,"Labour","Labour Gain"
"111","E14000640","City of Chester","Labour",76057,0.279836317692823,0.493267530871681,0.0731337151409149,0.0000310295897099155,0.0000261258908920671,0.0669172727688733,0.0447595699981059,0.0420284380470004,"Labour","Labour Hold"
"112","E14000641","City of Durham","Labour",71271,0.29172217811351,0.467200267402716,0.11298764681571,0.0000801622361620319,0.000053880712281925,0.0657881021557565,0.0236288432638565,0.0385389193000072,"Labour","Labour Hold"
"113","E14000642","Clacton","Conservative",70930,0.494098348231199,0.262176577579022,0.0666499801021238,0.0000702480561158478,0.0000301899134855166,0.044370258787151,0.0756776934694939,0.0569267038614082,"Conservative","Conservative Hold"
"114","E14000643","Cleethorpes","Conservative",73689,0.426373543467361,0.301938979969524,0.0692104484865716,0.0269653955380296,0.00681593298449756,0.0585131981249251,0.0611420511691076,0.049040450259984,"Conservative","Conservative Hold"
"115","E14000644","Colchester","Conservative",82625,0.31302715324573,0.405920826232137,0.110546643574342,0.000029213278951823,0.000121035187504901,0.0681641830335076,0.0417014172537426,0.0604895281940833,"Labour","Labour Gain"
"116","E14000645","Colne Valley","Conservative",84174,0.323773409333039,0.411175474258775,0.084927339854731,0.0243722548579212,0.00525350108448141,0.0601744803106126,0.0417687024328645,0.0485548378675748,"Labour","Labour Gain"
"117","E14000646","Congleton","Conservative",80930,0.391479931698024,0.348473400579708,0.0923105941145032,0.0000756801691811586,0.0000182832149131159,0.0622005963930339,0.0624521537428703,0.0429893600877656,"Conservative","Conservative Hold"
"118","E14000647","Copeland","Conservative",61693,0.348566197864074,0.409135861028606,0.0627118414849699,0.0000218256937732666,0.0000384730415383874,0.0601775720988127,0.0716294942437846,0.0477187345444417,"Labour","Labour Gain"
"119","E14000648","Corby","Conservative",86153,0.367683170205398,0.404762172209874,0.072236637880569,0.0000537584476128421,0.0000893046969113126,0.061763582662813,0.0462259409188271,0.0471854329779947,"Labour","Labour Gain"
"120","E14000649","Coventry North East","Labour",76006,0.264430806986341,0.499991431815368,0.0593123044430089,0.0000827333411006997,0.000141907726174202,0.0608085822964548,0.0498202979235709,0.0654119354679811,"Labour","Labour Hold"
"121","E14000650","Coventry North West","Labour",75247,0.318876284088542,0.449985463933345,0.0677601819791004,0.0000757446337219438,0.0000435914459120877,0.0634043599461795,0.048756799485612,0.051097574487588,"Labour","Labour Hold"
"122","E14000651","Coventry South","Labour",70979,0.292505536692687,0.475388821669478,0.0737369320026619,0.0000681774659107264,0.00002655518700877,0.0667921203801579,0.0403250510961097,0.051156805505986,"Labour","Labour Hold"
"123","E14000652","Crawley","Conservative",74207,0.337894989119371,0.392743893176401,0.0870778418760056,0.0000635095399027908,0.000043005791455577,0.0754931410979441,0.0496393527962821,0.0570442666026379,"Labour","Labour Gain"
"124","E14000653","Crewe and Nantwich","Conservative",80321,0.332579275840943,0.413275096473656,0.0686395428779386,0.0000467142799990742,0.0000397020479098213,0.0620679338878897,0.0717161153199354,0.0516356192717278,"Labour","Labour Gain"
"125","E14000654","Croydon Central","Labour",81407,0.288135969100963,0.476837305520995,0.0699331430676591,0.000107741143490578,0.0000621600185492734,0.0616679178902754,0.036230538771451,0.0670252244866169,"Labour","Labour Hold"
"126","E14000655","Croydon North","Labour",88468,0.211677988907825,0.54447882329098,0.0730918438433464,0.0000625349745683136,0.000143669442399521,0.0701492549087078,0.0283991463961902,0.0719967382359828,"Labour","Labour Hold"
"127","E14000656","Croydon South","Conservative",83982,0.359958907334754,0.365618166451917,0.112822996314659,0.000171249369981089,0.0000180206334839767,0.0613541533230334,0.0391885406805144,0.0608679658916573,"Labour","Labour Gain"
"128","E14000657","Dagenham and Rainham","Labour",71045,0.331804049568901,0.42281189179001,0.0553618725852493,0.000172413474166448,0.0000778515122893,0.0506244059133582,0.0583117900025441,0.0808357251534818,"Labour","Labour Hold"
"129","E14000658","Darlington","Conservative",66397,0.33592996747317,0.4414434602962,0.0731782297315969,0.0000999194212066094,0.000168107235704468,0.0650375246687721,0.0370323543313269,0.0471104368420222,"Labour","Labour Gain"
"130","E14000659","Dartford","Conservative",82209,0.398940088846907,0.329878832039579,0.09084175365421,0.0000783038770482334,0.0000376616396454854,0.06971114779778,0.0564713688577311,0.0540408432871,"Conservative","Conservative Hold"
